name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Werner,TOT,MID,6.4,Available,28,2,0,1.0,0.2
Whiteman,TOT,GKP,4.0,Available,0,0,0,0.0,1.6
Lankshear,TOT,FWD,4.5,Available,0,0,0,0.0,1.5
Moore,TOT,MID,4.5,Available,0,0,0,0.0,0.3
Odobert,TOT,MID,5.5,Available,138,5,0,2.5,0.1
Wan-Bissaka,WHU,DEF,4.5,Available,118,2,0,1.0,1.8
Álvarez,WHU,MID,5.0,Available,88,3,0,1.5,0.1
Antonio,WHU,FWD,5.5,Available,203,6,0,2.0,1.4
Areola,WHU,GKP,4.5,Doubtful,225,8,0,2.7,8.3
Bowen,WHU,MID,7.5,Available,247,15,0,5.0,5.9
Coufal,WHU,DEF,4.5,Available,165,8,0,2.7,0.8
Cresswell,WHU,DEF,4.0,Doubtful,1,1,0,1.0,2.0
Earthy,WHU,MID,4.5,NotAvail,0,0,0,0.0,0.1
Emerson,WHU,DEF,4.5,Available,248,7,0,2.3,0.7
Fabianski,WHU,GKP,4.0,Available,45,1,0,1.0,14.2
Foderingham,WHU,GKP,4.5,Available,0,0,0,0.0,0.2
Ings,WHU,FWD,5.0,Available,5,1,0,1.0,1.2
Kilman,WHU,DEF,4.5,Available,270,13,3,4.3,2.8
Kudus,WHU,MID,6.4,Available,267,7,0,2.3,5.9
L.Guilherme,WHU,MID,4.9,Available,0,0,0,0.0,0.0
L.Paquetá,WHU,MID,6.0,Available,253,11,0,3.7,2.1
Mavropanos,WHU,DEF,4.5,Available,270,10,2,3.3,0.2
